station,valid,tmpf,relh
ALB,2021-01-01 00:51,34.00,63.72
ALB,2021-01-01 01:51,32.00,69.04
ALB,2021-01-01 02:51,28.90,82.00
ALB,2021-01-01 03:51,25.00,84.53
ALB,2021-01-01 04:51,28.90,78.30
ALB,2021-01-01 05:51,25.00,80.66
ALB,2021-01-01 06:51,23.00,80.85
ALB,2021-01-01 07:51,23.00,84.39
ALB,2021-01-01 08:51,19.90,92.19
ALB,2021-01-01 09:51,19.00,100.00
ALB,2021-01-01 10:51,19.90,92.19
ALB,2021-01-01 11:51,18.00,96.19
ALB,2021-01-01 12:51,19.00,95.80
ALB,2021-01-01 13:51,25.00,87.81
ALB,2021-01-01 14:51,28.90,78.30
ALB,2021-01-01 15:51,30.00,74.87
ALB,2021-01-01 16:51,32.00,63.45
ALB,2021-01-01 17:51,32.00,60.55
ALB,2021-01-01 18:51,32.00,60.55
ALB,2021-01-01 19:51,30.90,63.31
ALB,2021-01-01 20:51,30.00,68.81
ALB,2021-01-01 21:51,30.00,68.81
ALB,2021-01-01 22:51,30.00,71.48
ALB,2021-01-01 23:51,30.00,71.48
ALB,2021-01-02 00:19,28.90,82.00
ALB,2021-01-02 00:51,27.00,100.00
ALB,2021-01-02 01:22,27.00,100.00
ALB,2021-01-02 01:51,28.00,95.97
ALB,2021-01-02 02:17,27.00,100.00
ALB,2021-01-02 02:35,27.00,100.00
ALB,2021-01-02 02:51,27.00,100.00
ALB,2021-01-02 02:56,27.00,100.00
ALB,2021-01-02 03:04,26.60,100.00
ALB,2021-01-02 03:16,27.00,100.00
ALB,2021-01-02 03:21,27.00,100.00
ALB,2021-01-02 03:40,28.40,92.86
ALB,2021-01-02 03:51,27.00,100.00
ALB,2021-01-02 03:59,28.00,100.00
ALB,2021-01-02 04:08,28.00,100.00
ALB,2021-01-02 04:42,28.00,100.00
ALB,2021-01-02 04:51,28.00,100.00
ALB,2021-01-02 04:53,28.90,100.00
ALB,2021-01-02 04:56,28.90,100.00
ALB,2021-01-02 05:09,28.90,100.00
ALB,2021-01-02 05:51,28.90,100.00
ALB,2021-01-02 06:51,30.00,100.00
ALB,2021-01-02 07:07,28.90,100.00
ALB,2021-01-02 07:44,30.20,100.00
ALB,2021-01-02 07:51,30.00,100.00
ALB,2021-01-02 08:51,30.00,100.00
ALB,2021-01-02 09:51,30.00,100.00
ALB,2021-01-02 10:51,30.90,100.00
ALB,2021-01-02 11:16,30.90,100.00
ALB,2021-01-02 11:35,30.90,100.00
ALB,2021-01-02 11:51,30.90,100.00
ALB,2021-01-02 12:51,32.00,100.00
ALB,2021-01-02 13:51,32.00,100.00
ALB,2021-01-02 13:58,32.00,100.00
ALB,2021-01-02 14:49,33.80,100.00
