"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2021/01/01 00:00:00","CAPITL","61757","1226.8424"
"2021/01/01 01:00:00","CAPITL","61757","1194.3334"
"2021/01/01 02:00:00","CAPITL","61757","1171.2119"
"2021/01/01 03:00:00","CAPITL","61757","1165.921"
"2021/01/01 04:00:00","CAPITL","61757","1180.2197"
"2021/01/01 05:00:00","CAPITL","61757","1212.3872"
"2021/01/01 06:00:00","CAPITL","61757","1251.8379"
"2021/01/01 07:00:00","CAPITL","61757","1277.2779"
"2021/01/01 08:00:00","CAPITL","61757","1278.642"
"2021/01/01 09:00:00","CAPITL","61757","1261.8212"
"2021/01/01 10:00:00","CAPITL","61757","1264.7319"
"2021/01/01 11:00:00","CAPITL","61757","1294.3364"
"2021/01/01 12:00:00","CAPITL","61757","1340.784"
"2021/01/01 13:00:00","CAPITL","61757","1347.4413"
"2021/01/01 14:00:00","CAPITL","61757","1369.5443"
"2021/01/01 15:00:00","CAPITL","61757","1414.1269"
"2021/01/01 16:00:00","CAPITL","61757","1500.2556"
"2021/01/01 17:00:00","CAPITL","61757","1562.9318"
"2021/01/01 18:00:00","CAPITL","61757","1538.0354"
"2021/01/01 19:00:00","CAPITL","61757","1500.8339"
"2021/01/01 20:00:00","CAPITL","61757","1453.303"
"2021/01/01 21:00:00","CAPITL","61757","1393.6084"
"2021/01/01 22:00:00","CAPITL","61757","1321.5201"
"2021/01/01 23:00:00","CAPITL","61757","1244.0803"
"2021/01/02 00:00:00","CAPITL","61757","1179.2511"
"2021/01/02 01:00:00","CAPITL","61757","1144.9948"
"2021/01/02 02:00:00","CAPITL","61757","1119.5453"
"2021/01/02 03:00:00","CAPITL","61757","1120.5291"
"2021/01/02 04:00:00","CAPITL","61757","1136.0581"
"2021/01/02 05:00:00","CAPITL","61757","1161.0645"
"2021/01/02 06:00:00","CAPITL","61757","1201.6981"
"2021/01/02 07:00:00","CAPITL","61757","1248.7482"
"2021/01/02 08:00:00","CAPITL","61757","1292.4324"
"2021/01/02 09:00:00","CAPITL","61757","1338.0248"
"2021/01/02 10:00:00","CAPITL","61757","1377.759"
"2021/01/02 11:00:00","CAPITL","61757","1381.5312"
"2021/01/02 12:00:00","CAPITL","61757","1318.7222"
"2021/01/02 13:00:00","CAPITL","61757","1288.5222"
